"","name","date","sentiment.value","Party"
"274","George Washington","August 07, 1794",-0.0454545454545455,"Federalist"
"275","George Washington","December 03, 1793",0.294117647058824,"Federalist"
"276","George Washington","March 04, 1793",0.285714285714286,"Federalist"
"277","George Washington","April 30, 1789",1.31944444444444,"Federalist"
"278","George Washington","October 03, 1789",2.38461538461538,"Federalist"
"279","George Washington","January 08, 1790",1.47619047619048,"Federalist"
"280","George Washington","December 08, 1790",0.78,"Federalist"
"281","George Washington","December 29, 1790",0.571428571428571,"Federalist"
"282","George Washington","October 25, 1791",1.30769230769231,"Federalist"
"283","George Washington","April 05, 1792",0,"Federalist"
"284","George Washington","November 06, 1792",0.732394366197183,"Federalist"
"285","George Washington","December 12, 1792",0.466666666666667,"Federalist"
"286","George Washington","April 22, 1793",0.666666666666667,"Federalist"
"287","George Washington","August 29, 1796",2.6530612244898,"Federalist"
"288","John Adams","December 19, 1799",0.193548387096774,"Federalist"
"289","John Adams","December 03, 1799",0.923076923076923,"Federalist"
"290","John Adams","November 22, 1800",1.66,"Federalist"
"291","John Adams","December 08, 1798",0.685714285714286,"Federalist"
"292","John Adams","November 22, 1797",0.36,"Federalist"
"293","John Adams","May 16, 1797",0.336448598130841,"Federalist"
"294","John Adams","March 04, 1797",1.52272727272727,"Federalist"
"295","John Adams","March 23, 1798",1.66666666666667,"Federalist"
"296","John Adams","May 21, 1800",-0.266666666666667,"Federalist"
"297","Thomas Jefferson","April 03, 1809",1.4,"Democratic-Republican"
"298","Thomas Jefferson","November 08, 1808",0.25609756097561,"Democratic-Republican"
"299","Thomas Jefferson","October 27, 1807",0.0428571428571429,"Democratic-Republican"
"300","Thomas Jefferson","July 02, 1807",-0.323529411764706,"Democratic-Republican"
"301","Thomas Jefferson","February 10, 1807",-0.363636363636364,"Democratic-Republican"
"302","Thomas Jefferson","January 22, 1807",0.212121212121212,"Democratic-Republican"
"303","Thomas Jefferson","December 30, 1806",0.305555555555556,"Democratic-Republican"
"304","Thomas Jefferson","December 02, 1806",0.89041095890411,"Democratic-Republican"
"305","Thomas Jefferson","November 27, 1806",0.571428571428571,"Democratic-Republican"
"306","Thomas Jefferson","January 10, 1806",-0.354838709677419,"Democratic-Republican"
"307","Thomas Jefferson","December 03, 1805",0.148936170212766,"Democratic-Republican"
"308","Thomas Jefferson","March 04, 1801",1.05555555555556,"Democratic-Republican"
"309","Thomas Jefferson","July 12, 1801",0.619047619047619,"Democratic-Republican"
"310","Thomas Jefferson","December 08, 1801",0.556603773584906,"Democratic-Republican"
"311","Thomas Jefferson","January 01, 1802",1.73333333333333,"Democratic-Republican"
"312","Thomas Jefferson","November 03, 1802",1.325,"Democratic-Republican"
"313","Thomas Jefferson","December 15, 1802",0.615384615384615,"Democratic-Republican"
"314","Thomas Jefferson","January 18, 1803",0.880952380952381,"Democratic-Republican"
"315","Thomas Jefferson","October 17, 1803",0.333333333333333,"Democratic-Republican"
"316","Thomas Jefferson","December 17, 1803",0.459459459459459,"Democratic-Republican"
"317","Thomas Jefferson","November 08, 1804",0.508771929824561,"Democratic-Republican"
"318","Thomas Jefferson","June 20, 1803",0.423076923076923,"Democratic-Republican"
"319","Thomas Jefferson","March 04, 1805",0.870588235294118,"Democratic-Republican"
"320","Thomas Jefferson","December 06, 1805",-0.181818181818182,"Democratic-Republican"
"321","James Madison","March 03, 1817",1.3448275862069,"Democratic-Republican"
"322","James Madison","December 03, 1816",0.938144329896907,"Democratic-Republican"
"323","James Madison","December 05, 1815",1.22680412371134,"Democratic-Republican"
"324","James Madison","February 18, 1815",1.75609756097561,"Democratic-Republican"
"325","James Madison","September 20, 1814",-0.202127659574468,"Democratic-Republican"
"326","James Madison","September 01, 1814",-0.775,"Democratic-Republican"
"327","James Madison","December 07, 1813",-0.149606299212598,"Democratic-Republican"
"328","James Madison","July 23, 1813",1.4,"Democratic-Republican"
"329","James Madison","May 25, 1813",0.453333333333333,"Democratic-Republican"
