name,date,sentiment.value
James Madison,"November 04, 1812",0.0256410256410256
James Madison,"March 04, 1809",1.20634920634921
James Madison,"May 23, 1809",1.10714285714286
James Madison,"November 29, 1809",0.847457627118644
James Madison,"October 27, 1810",0.416666666666667
James Madison,"December 05, 1810",0.7
James Madison,"February 21, 1811",0.375
James Madison,"November 05, 1811",0.5
James Madison,"June 19, 1812",1.28571428571429
James Madison,"July 09, 1812",0.473684210526316
James Madison,"June 01, 1812",-0.229357798165138
James Madison,"January 30, 1815",0.268292682926829
James Monroe,"December 07, 1824",1.40268456375839
James Monroe,"December 03, 1822",1
James Monroe,"December 03, 1821",1.36607142857143
James Monroe,"November 14, 1820",0.934782608695652
James Monroe,"December 07, 1819",1.23423423423423
James Monroe,"November 16, 1818",0.901785714285714
James Monroe,"December 02, 1817",1.21495327102804
James Monroe,"March 04, 1817",1.43076923076923
James Monroe,"March 05, 1821",0.928571428571429
James Monroe,"December 02, 1823",0.91304347826087
John Quincy Adams,"February 24, 1841",2
John Quincy Adams,"December 02, 1828",1.07284768211921
John Quincy Adams,"December 04, 1827",1.1656050955414
John Quincy Adams,"December 05, 1826",1.3489932885906
John Quincy Adams,"December 06, 1825",1.78021978021978
John Quincy Adams,"July 04, 1821",1.61111111111111
John Quincy Adams,"March 04, 1825",1.21495327102804
John Quincy Adams,"December 06, 1825",1.57692307692308
John Quincy Adams,"February 05, 1827",0.348837209302326
Andrew Jackson,"March 04, 1829",1.33898305084746
Andrew Jackson,"September 18, 1833",0.350649350649351
Andrew Jackson,"April 15, 1834",0.339285714285714
Andrew Jackson,"March 04, 1837",0.972111553784861
Andrew Jackson,"December 21, 1836",0.30188679245283
Andrew Jackson,"December 05, 1836",0.447058823529412
Andrew Jackson,"December 07, 1835",0.979338842975207
Andrew Jackson,"December 01, 1834",0.513698630136986
Andrew Jackson,"April 21, 1834",0.571428571428571
Andrew Jackson,"December 12, 1833",0.75
Andrew Jackson,"December 03, 1833",1.07608695652174
Andrew Jackson,"March 04, 1833",1.46511627906977
Andrew Jackson,"February 15, 1832",0.95
Andrew Jackson,"December 06, 1831",1.10471204188482
Andrew Jackson,"December 04, 1832",0.758454106280193
Andrew Jackson,"December 06, 1832",0
Andrew Jackson,"December 10, 1832",-0.419191919191919
Andrew Jackson,"July 10, 1832",1.15789473684211
Andrew Jackson,"January 16, 1833",0.227488151658768
Martin Van Buren,"March 04, 1837",0.773809523809524
Martin Van Buren,"September 04, 1837",0.221757322175732
Martin Van Buren,"January 05, 1838",1
Martin Van Buren,"December 03, 1838",1.08661417322835
Martin Van Buren,"December 02, 1839",0.485611510791367
Martin Van Buren,"December 05, 1840",0.544186046511628
Martin Van Buren,"January 02, 1841",-0.844444444444444
Martin Van Buren,"December 05, 1837",1.10502283105023
Martin Van Buren,"November 21, 1838",0.269230769230769
Martin Van Buren,"February 16, 1839",-0.245283018867925
William Harrison,"March 04, 1841",0.844036697247706
John Tyler,"April 09, 1841",0.492957746478873
John Tyler,"June 01, 1841",0.632258064516129
